Code,Name,NameLong,Lat,Long,Cbseg,WaterBody,Description,Datum,CityCounty,Tidal,Comments,Fips,Huc12,State,Huc6Name
JRRC.JOHRUN2.79,JOHRUN 2.79,,39.831062,-77.902611,,Lower West Branch Conococheague Creek,Johnston Run,NAD83,Franklin County,FALSE,,42055,020700040605,Pennsylvania,
JRRC.JOHRUN3.08,JOHRUN 3.08,,39.831043,-77.906097,,Lower West Branch Conococheague Creek,Johnston Run,NAD83,Franklin County,FALSE,,42055,020700040605,Pennsylvania,
JRRC.JOHRUN4.35,JOHRUN 4.35,,39.837415,-77.923427,,Lower West Branch Conococheague Creek,Johnston Run,NAD83,Franklin County,FALSE,,42055,020700040605,Pennsylvania,
LCCD.Kelly1,Kelly1,Kellys Run - Kelly1,39.836524,-76.339021,,Muddy Run-Susquehanna River,LCC Nature Preserve,NAD83,Lancaster County,FALSE,Master Naturalist site,42071,020503061708,Pennsylvania,
TUCCC.KELSCR001,KELSCR001,Kelsey Creek,41.7285,-77.321652,,Charleston Creek,Kelsey Creek,NAD83,Tioga County,FALSE,,42117,020502050301,Pennsylvania,
TUCCC.KENDCR001,KENDCR001,Kendall Creek,41.96388,-76.61972,,Dry Brook-Chemung River,Kendall Creek,NAD83,Bradford County,FALSE,,42015,020501050607,Pennsylvania,
GCWD.KETCRE53.66,KETCRE53.66,Kettle Creek 53.66,41.58548333,-77.63618333,,Upper Kettle Creek,Kettle Creek 53.66,NAD83,Potter County,FALSE,,42105,020502030102,Pennsylvania,West Branch Susquehanna
CCST.KITCRE5.67,KITCRE5.67,,41.30006,-76.27466,,Kitchen Creek,Kitchen Creek,NAD83,Luzerne County,FALSE,,42079,020501070502,Pennsylvania,
LCCD.KnightsRun,KR,Knights Run,39.884646,-75.978733,,Muddy Run-East Branch Octoraro Creek,"Ross-Fording Road- updstream, in meadow",NAD83,Chester County,FALSE,Permission from Dennis Bush through CCCD,42029,020503061403,Pennsylvania,
YCST.KRECRE8.67,KRECRE 8.67,,40.000433,-76.602183,,Kreutz Creek,Kreutz Creek 8.67,NAD83,York County,FALSE,,42133,020503061703,Pennsylvania,
TUCCC.LALIRU001,LALIRU001,Laurel Lick Run,40.56722,-78.692778,,Upper Chest Creek,Laurel Lick Run,NAD83,Cambria County,FALSE,,42021,020502010101,Pennsylvania,
LCCD.LaR2,LaR2,Landis Run - LaR2,40.089722,-76.290556,,Lower Conestoga River,Landis Woods at St. John Neuman Church,NAD83,Lancaster County,FALSE,,42071,020503061107,Pennsylvania,
LCCD.LaR3,LaR3,Landis Run - LaR3,40.075,-76.269444,,Lower Conestoga River,Butter Rd. under bridge,NAD83,Lancaster County,FALSE,,42071,020503061107,Pennsylvania,
TUCCC.LAURRU001,LAURRU001,Laurel Run,40.82668,-78.1111,,Laurel Run-Bald Eagle Creek,Laurel Run,NAD83,Centre County,FALSE,,42027,020502040401,Pennsylvania,
TUCCC.LAURRU002,LAURRU002,Laurel Run,40.8682,-78.4241,,Lower Clearfield Creek,Laurel Run,NAD83,Clearfield County,FALSE,,42033,020502010308,Pennsylvania,
TUCCC.LAURRU005,LAURRU005,Laurel Run,41.291317,-76.731433,,Gregs Run-Muncy Creek,Laurel Run,NAD83,Lycoming County,FALSE,,42081,020502060803,Pennsylvania,
GCWD.LAURUN0.06,LAURUN0.06,Laurel Run 0.06,41.82895,-77.63941667,,Phoenix Run,Laurel Run 0.06,NAD83,Potter County,FALSE,,42105,020502050205,Pennsylvania,West Branch Susquehanna
LCCD.LC2,LC2,Little Conestoga - LC2,39.983782,-76.377848,,West Branch Little Conestoga Creek-Little Conestoga Creek,Owl Bridge Rd. - mainstem before confluence with West Branch,NAD83,Lancaster County,FALSE,,42071,020503061002,Pennsylvania,
LCCD.LC3,LC3,Little Conestoga - LC3,40.03694444,-76.34333333,,West Branch Little Conestoga Creek-Little Conestoga Creek,Restoration Area,NAD83,Lancaster County,FALSE,,42071,020503061002,Pennsylvania,Lower Susquehanna
LCCD.LC4,LC4,Little Conestoga - LC3,40.036944,-76.343333,,West Branch Little Conestoga Creek-Little Conestoga Creek,Maple Grove Community Center below Columbia Ave. (Rt. 462),NAD83,Lancaster County,FALSE,Restoration area,42071,020503061002,Pennsylvania,
LCCD.LC5,LC5,Little Conestoga - LC5,40.095278,-76.336389,,Millers Run-Little Conestoga Creek,Buch Ave. & Miller Rd.,NAD83,Lancaster County,FALSE,potential site for development and thus watershed protection,42071,020503061001,Pennsylvania,
TUCCC.LEONCR001,LEONCR001,Leonard Creek,41.375005,-75.988388,,Leonard Creek,Leonard Creek,NAD83,Luzerne County,FALSE,,42079,020501061301,Pennsylvania,
TUCCC.LEONCR002,LEONCR002,Leonard Creek,41.413296,-76.000236,,Leonard Creek,Leonard Creek,NAD83,Wyoming County,FALSE,,42131,020501061301,Pennsylvania,
CVTU.LETSPRRUN6.66,LETSPRRUN 6.66,LeTort Spring Run 6.66,40.17365,-77.188767,,Letort Spring Run,LeTort Spring Run 6.66,NAD83,Cumberland County,FALSE,,42041,020503050404,Pennsylvania,Lower Susquehanna
